image_name,tree_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,canopy_area_px,canopy_width_px,canopy_height_px,canopy_diameter_px,canopy_compactness,canopy_circularity,canopy_asymmetry_score,canopy_gap_ratio,canopy_edge_roughness,canopy_irregularity,rgb_green_ratio,rgb_brightness_mean,rgb_brightness_std,distance_to_road_px,inverse_distance_to_road,road_overlap_ratio,road_buffer_overlap_ratio,normalized_canopy_size,inspection_priority_score,inspection_priority_level,candidate_source
000000.png,1,2031,722,2203,861,16895,172,139,172,0.7067,0.5928,0.0208,0.0,0.1337,0.203,0.4222,88.79,23.31,22.79,0.9129,0.0,0.0018,0.002,0.3071,Low,sam
000000.png,2,2173,669,2349,906,28722,176,237,237,0.6886,0.5793,0.0245,0.0,0.1381,0.2097,0.4353,80.86,26.53,25.58,0.9028,0.0,0.0,0.0035,0.3053,Low,sam
000000.png,3,2188,474,2289,598,8806,101,124,124,0.7031,0.6139,0.028,0.0,0.127,0.1926,0.4228,83.8,29.41,108.65,0.6475,0.0,0.0,0.0011,0.2261,Low,sam
000000.png,4,1067,1131,1292,1344,33718,225,213,225,0.7036,0.5833,0.0222,0.0,0.1368,0.2077,0.4496,82.62,31.24,3.0,0.9881,0.0,0.0807,0.0041,0.3466,Medium,sam
000000.png,5,2327,1884,2814,2160,97726,487,276,487,0.7271,0.5441,0.0361,0.0,0.1505,0.2275,0.4401,83.17,26.35,1.0,0.996,0.0,0.0893,0.0118,0.3562,Medium,sam
000000.png,6,2286,1719,2814,2160,156976,528,441,528,0.6742,0.4429,0.0439,0.0001,0.1939,0.2811,0.4514,83.84,27.49,1.0,0.996,0.0,0.1511,0.0189,0.3784,Medium,sam
000000.png,7,1393,966,1588,1146,26885,195,180,195,0.766,0.5642,0.0122,0.0,0.1433,0.2173,0.4332,82.41,28.1,1.0,0.996,0.0,0.2659,0.0032,0.3863,Medium,sam
000000.png,8,1150,827,1374,1067,34193,224,240,240,0.636,0.4966,0.02,0.0,0.1692,0.2521,0.4399,90.92,31.85,1.0,0.996,0.0,0.1168,0.0041,0.3626,Medium,sam
000000.png,9,1464,51,1554,264,12581,90,213,213,0.6563,0.4676,0.031,0.0,0.182,0.2676,0.3803,118.06,30.53,1.0,0.996,0.0,0.6671,0.0015,0.4757,Medium,sam
000000.png,10,2289,621,2387,718,7509,98,97,98,0.7899,0.6886,0.0075,0.0,0.106,0.1564,0.4458,88.78,27.26,192.56,0.4629,0.0,0.0,0.0009,0.1632,Low,sam
