image_name,tree_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,canopy_area_px,canopy_width_px,canopy_height_px,canopy_diameter_px,canopy_compactness,canopy_circularity,canopy_asymmetry_score,canopy_gap_ratio,canopy_edge_roughness,canopy_irregularity,rgb_green_ratio,rgb_brightness_mean,rgb_brightness_std,distance_to_road_px,inverse_distance_to_road,road_overlap_ratio,road_buffer_overlap_ratio,normalized_canopy_size,inspection_priority_score,inspection_priority_level,candidate_source
seq21_000000.png,1,827,1907,977,2061,17496,150,154,154,0.7574,0.6589,0.0053,0.0,0.1139,0.1706,0.4651,70.36,26.76,30.38,0.8856,0.0,0.0,0.0021,0.2921,Low,sam
seq21_000000.png,2,2057,591,2166,782,13359,109,191,191,0.6417,0.4961,0.0406,0.0,0.1694,0.2524,0.4189,92.54,28.48,1.0,0.996,0.0,0.0888,0.0016,0.3587,Medium,sam
seq21_000000.png,3,1592,947,1675,1093,9642,83,146,146,0.7957,0.626,0.0411,0.0,0.1234,0.1866,0.4204,74.52,21.18,1.0,0.996,0.0,0.4582,0.0012,0.4227,Medium,sam
seq21_000000.png,4,2280,1989,2555,2160,36448,275,171,275,0.7751,0.5986,0.0478,0.0,0.1318,0.2001,0.4612,76.14,21.32,1.0,0.996,0.0,0.0749,0.0044,0.3492,Medium,sam
seq21_000000.png,5,2274,1779,2473,1989,30607,199,210,210,0.7324,0.6032,0.0178,0.0,0.1304,0.1978,0.4448,68.99,25.28,1.0,0.996,0.0,0.1694,0.0037,0.3647,Medium,sam
seq21_000000.png,6,2402,1577,2586,1727,19768,184,150,184,0.7162,0.611,0.0262,0.0,0.1279,0.194,0.4639,79.81,24.45,8.0,0.9685,0.0,0.026,0.0024,0.3278,Low,sam
seq21_000000.png,7,2155,1438,2315,1622,22977,160,184,184,0.7805,0.6598,0.001,0.0,0.1137,0.1702,0.4408,76.18,21.54,1.0,0.996,0.0,0.3393,0.0028,0.3927,Medium,sam
seq21_000000.png,8,2115,1326,2297,1476,17738,182,150,182,0.6497,0.5298,0.04,0.0,0.1558,0.2348,0.439,86.44,22.32,1.0,0.996,0.0,0.2212,0.0021,0.3826,Medium,sam
seq21_000000.png,9,2563,1975,2796,2160,32663,233,185,233,0.7578,0.6396,0.0064,0.0,0.1194,0.18,0.4464,80.5,22.38,159.38,0.5286,0.0,0.0,0.0039,0.1868,Low,sam
seq21_000000.png,10,1427,1359,1610,1521,20844,183,162,183,0.7031,0.6172,0.0175,0.0,0.126,0.1909,0.45,73.38,22.6,1.0,0.996,0.0,0.4341,0.0025,0.4164,Medium,sam
