image_name,tree_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,canopy_area_px,canopy_width_px,canopy_height_px,canopy_diameter_px,canopy_compactness,canopy_circularity,canopy_asymmetry_score,canopy_gap_ratio,canopy_edge_roughness,canopy_irregularity,rgb_green_ratio,rgb_brightness_mean,rgb_brightness_std,distance_to_road_px,inverse_distance_to_road,road_overlap_ratio,road_buffer_overlap_ratio,normalized_canopy_size,inspection_priority_score,inspection_priority_level,candidate_source
seq21_000000.png,1,827,1907,977,2061,17488,150,154,154,0.7571,0.6626,0.0049,0.0,0.1129,0.1688,0.4652,70.31,26.62,57.38,0.7949,0.0,0.0,0.0021,0.2646,Low,sam
seq21_000000.png,2,2057,591,2166,782,13101,109,191,191,0.6293,0.4904,0.0305,0.0,0.1718,0.2554,0.4199,91.56,27.48,8.4,0.967,0.0,0.0728,0.0016,0.3463,Medium,sam
seq21_000000.png,3,2109,1326,2297,1476,18139,188,150,188,0.6432,0.5336,0.0412,0.0,0.1544,0.2329,0.4383,86.55,22.52,1.0,0.996,0.0,0.2682,0.0022,0.3918,Medium,sam
seq21_000000.png,4,1592,947,1678,1093,9551,86,146,146,0.7607,0.6067,0.0423,0.0,0.1293,0.1961,0.4204,74.66,21.69,1.0,0.996,0.0,0.3488,0.0012,0.4024,Medium,sam
seq21_000000.png,5,2155,1438,2319,1622,23240,164,184,184,0.7701,0.6572,0.0071,0.0,0.1144,0.1714,0.4403,76.37,21.61,1.0,0.996,0.0,0.3536,0.0028,0.3964,Medium,sam
seq21_000000.png,6,1427,1359,1614,1521,21350,187,162,187,0.7048,0.6192,0.0182,0.0,0.1254,0.19,0.4489,73.29,22.3,1.0,0.996,0.0,0.4183,0.0026,0.4132,Medium,sam
seq21_000000.png,7,2402,1577,2585,1727,19628,183,150,183,0.715,0.6139,0.0231,0.0,0.127,0.1926,0.4645,79.69,24.43,3.0,0.9881,0.0,0.0432,0.0024,0.3366,Medium,sam
seq21_000000.png,8,2275,1989,2555,2160,35770,280,171,280,0.7471,0.5732,0.0493,0.0,0.1402,0.2128,0.4623,75.84,21.25,1.0,0.996,0.0,0.0758,0.0043,0.3515,Medium,sam
seq21_000000.png,9,1060,1854,1255,2076,28268,195,222,222,0.653,0.5571,0.0141,0.0,0.1458,0.2209,0.4698,96.25,31.28,1.0,0.996,0.0,0.3286,0.0034,0.3996,Medium,sam
seq21_000000.png,10,2100,1239,2250,1356,12680,150,117,150,0.7225,0.601,0.0196,0.0,0.1311,0.1989,0.4203,92.54,23.76,1.0,0.996,0.0,0.2127,0.0015,0.3734,Medium,sam
seq21_000000.png,11,1230,1551,1337,1656,8199,107,105,107,0.7298,0.6116,0.0022,0.0,0.1277,0.1937,0.4338,98.21,25.43,1.0,0.996,0.0,0.5254,0.001,0.4333,Medium,sam
seq21_000000.png,12,1505,1198,1614,1277,7067,109,79,109,0.8207,0.6864,0.0098,0.0,0.1066,0.1574,0.4206,77.78,24.23,1.0,0.996,0.0,0.5943,0.0009,0.4424,Medium,sam
seq21_000000.png,13,1185,1633,1310,1761,11653,125,128,128,0.7283,0.6409,0.0177,0.0,0.119,0.1793,0.455,100.72,28.13,1.0,0.996,0.0,0.5391,0.0014,0.4355,Medium,sam
seq21_000000.png,14,2481,1716,2600,1840,10535,119,124,124,0.7139,0.6344,0.0205,0.0,0.1209,0.1825,0.4761,80.25,26.22,57.0,0.7961,0.0,0.0,0.0013,0.2684,Low,sam
seq21_000000.png,15,1442,1678,1560,1865,17485,118,187,187,0.7924,0.6275,0.0174,0.0,0.1229,0.1859,0.4647,77.2,27.16,1.0,0.996,0.0,0.3154,0.0021,0.3918,Medium,sam
seq21_000000.png,16,1360,1678,1560,1865,25544,200,187,200,0.683,0.4852,0.0388,0.0,0.1741,0.2581,0.4574,78.66,31.2,1.0,0.996,0.0,0.3806,0.0031,0.418,Medium,sam
seq21_000000.png,17,2274,1779,2470,1989,28076,196,210,210,0.6821,0.5907,0.0255,0.0,0.1344,0.204,0.4495,69.75,25.82,12.6,0.9508,0.0,0.0345,0.0034,0.3258,Low,sam
seq21_000000.png,18,1440,1536,1560,1671,13155,120,135,135,0.812,0.6715,0.0119,0.0,0.1105,0.1646,0.4492,74.32,20.91,1.0,0.996,0.0,0.4857,0.0016,0.4221,Medium,sam
seq21_000000.png,19,2385,1505,2514,1618,10035,129,113,129,0.6884,0.5912,0.0135,0.0,0.1342,0.2038,0.4309,85.1,24.77,1.0,0.996,0.0,0.1647,0.0012,0.3638,Medium,sam
seq21_000000.png,20,450,1862,797,2110,57147,347,248,347,0.6641,0.5382,0.0411,0.0,0.1527,0.2305,0.4426,68.63,18.7,231.8,0.3957,0.0,0.0,0.0069,0.1584,Low,sam
seq21_000000.png,21,883,1805,995,1892,6828,112,87,112,0.7007,0.5981,0.007,0.0,0.132,0.2004,0.458,69.7,22.12,71.12,0.7524,0.0,0.0,0.0008,0.2566,Low,sam
seq22_000000.png,1,1761,114,1869,238,9905,108,124,124,0.7396,0.6135,0.0308,0.0,0.1272,0.1927,0.4166,83.62,25.86,2.8,0.9889,0.0,0.1479,0.0012,0.3584,Medium,sam
seq22_000000.png,2,1495,917,1674,1108,24104,179,191,191,0.705,0.6229,0.0085,0.0,0.1243,0.1881,0.4624,76.8,21.33,25.98,0.9013,0.0,0.0,0.0029,0.2999,Low,sam
seq22_000000.png,3,1551,846,1708,984,13788,157,138,157,0.6364,0.5148,0.0799,0.0,0.1617,0.2426,0.4453,77.01,22.96,31.96,0.88,0.0,0.0,0.0017,0.3086,Low,sam
seq22_000000.png,4,1554,729,1719,981,28695,165,252,252,0.6901,0.5254,0.0185,0.0,0.1575,0.2371,0.4505,76.17,24.16,21.58,0.9173,0.0,0.0014,0.0035,0.3134,Low,sam
seq22_000000.png,5,1560,729,1716,872,16230,156,143,156,0.7275,0.5694,0.0388,0.0,0.1415,0.2147,0.4543,75.48,25.47,21.58,0.9173,0.0,0.0025,0.002,0.3121,Low,sam
seq22_000000.png,6,3145,1558,3276,1693,13991,131,135,135,0.7911,0.6776,0.0065,0.0,0.1089,0.1616,0.4467,72.9,21.91,206.34,0.4381,0.0,0.0,0.0017,0.1566,Low,sam
seq22_000000.png,7,1236,1656,1480,1884,41395,244,228,244,0.7441,0.5805,0.02,0.0,0.1377,0.2091,0.4907,81.0,28.63,1.0,0.996,0.0,0.1595,0.005,0.3648,Medium,sam
seq22_000000.png,8,2233,107,2353,234,10905,120,127,127,0.7156,0.6391,0.0141,0.0,0.1195,0.1802,0.4223,85.01,28.91,1.0,0.996,0.0,0.3259,0.0013,0.3926,Medium,sam
seq22_000000.png,9,1150,1832,1425,2072,46024,275,240,275,0.6973,0.5706,0.0133,0.0,0.1411,0.2141,0.4885,79.72,30.09,1.0,0.996,0.0,0.1313,0.0055,0.3593,Medium,sam
seq22_000000.png,10,1680,1280,1828,1420,18173,148,140,148,0.8771,0.7435,0.0055,0.0,0.0926,0.1304,0.4261,81.87,20.34,1.0,0.996,0.0,0.4962,0.0022,0.4185,Medium,sam
